principle,original_posterior,feedback_guided_posterior,delta,abs_delta
long_aliphatic_penalty,0.47485141543310927,0.7454349182830999,0.27058350284999066,0.27058350284999066
reaction_a5dd26ae10ad,0.04463996233911901,0.02169233507368212,-0.02294762726543689,0.02294762726543689
stereochemical_complexity_penalty,0.02872434218952689,0.012725329976483504,-0.01599901221304339,0.01599901221304339
druglike_hetero_complexity_penalty,0.02889181886125736,0.014119936459408627,-0.014771882401848733,0.014771882401848733
too_flexible_penalty,0.025927712441513068,0.01269076999980305,-0.013236942441710017,0.013236942441710017
reaction_536dfe22d324,0.025340651466650065,0.012447259177920203,-0.012893392288729861,0.012893392288729861
cyanate_ester_triazine,0.025339639099364583,0.012447039871200834,-0.01289259922816375,0.01289259922816375
nitrile_rich_rigidity,0.025339639099364583,0.012447039871200834,-0.01289259922816375,0.01289259922816375
reaction_839cd29ef5d7,0.020333706686164937,0.011759745206502917,-0.00857396147966202,0.00857396147966202
peptide_like_out_of_domain,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
formal_charge_practical_penalty,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
aromatic_backbones_raise_tg,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
high_functionality_crosslink_density,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
heavy_halogen_practical_risk,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
peg_like_penalty,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
reaction_461e81fa276b,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
reaction_bd312644298f,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
reaction_michael_thiol_ene,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
reaction_bc75cf8f07d2,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
multi_aromatic_rigidity,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
reaction_1d41d1c7896e,0.014696599693417722,0.007076232212527907,-0.007620367480889815,0.007620367480889815
reaction_michael,0.014490647308249654,0.006956769419968231,-0.007533877888281423,0.007533877888281423
reaction_aab22a9380a2,0.014490647308249654,0.006956769419968231,-0.007533877888281423,0.007533877888281423
maleimide_rigid_network,0.014490501053742777,0.006956686514479127,-0.00753381453926365,0.00753381453926365
sulfone_diamine_rigidity,0.014490501053742777,0.006956686514479127,-0.00753381453926365,0.00753381453926365
imide_anhydride_networks_raise_tg,0.014490501053742777,0.006956686514479127,-0.00753381453926365,0.00753381453926365
reaction_8122f963caab,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_1ef23bb55506,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_2ee4496097cb,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_5cde50869441,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_2f387d801461,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_aaba7fbe7783,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_7deb10577c5e,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_a67f85420c33,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_b793ac896a4f,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_cc7f1a60f1af,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_ee82a65db02c,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
reaction_e3ab71c1126b,0.004123041814916989,0.0019896576083474897,-0.0021333842065694992,0.0021333842065694992
flexible_ether_penalty,0.0023226165061861538,0.0006613498468194155,-0.0016612666593667383,0.0016612666593667383
