split,line_number,generation_id,source_strategy,source_ledger,target_tg_c,target_window_c,predicted_tg_mean_c,predicted_tg_sigma_c,ood_penalty,target_distance_c,generation_reward,candidate_smiles,candidate_ratios,principle_hypothesis,functional_group_plan,compatibility_reasons,source_candidate_json,user_prompt,rag_context_refs,rag_context_digest,prompt_length,rag_ref_count,rag_digest_length,feature_index,generated_condition_index,source_condition_feature_index,projection_distance
train,4,prompt_rag_selected_002,llm_rag_principle_generation,artifacts/trail/generation/prompt_records/generation_record_ledger.csv,195.0,5.0,195.005365464446,0.0,0.0,0.0053654644459868,0.9989274826690828,C=CC(=O)OCCOCCOc1ccccc1|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000,Rigid aromatic compatible functional groups should keep the target window reachable.,aromatic;ester;ether;vinyl + aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,"{'ratios': ['0.30000', '0.70000'], 'smiles': ['C=CC(=O)OCCOCCOc1ccccc1', 'O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O']}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: trail/knowledge/smp_prior_knowledge.yaml:0|docs/generation_strategy_and_harness.md:31|docs/generation_strategy_and_harness.md:43|docs/smp_knowledge_base_and_ontology.md:22
RAG digest: materials_domain: thermoset_shape_memory_polymers representation_scope:   current: single_small_molecule_smiles_or_molecode   deferred:     - commodity_grade_component_mixture      || - 120 条 replacement proposals 输入。 - 107 条可重建为完整双组分配方并完成 VAE-WVCM-GPR 预测。 - 10 条通过 Harness。 - `scripts/evaluate_replacement_proposals.py` 默认使用 CPU deterministic VAE encoding，避免 CUDA || - `generation_id / strategy / stage / target_tg_c / target_window_c` - `candidate_smiles / candidate_ratios` - `prompt_id / prompt_text / prompt_hash` - `rag_query / rag_context_re || - `epoxy_amine_thermal_cure` - `epoxy_anhydride_catalyzed_cure` - `anhydride_amine_imidization` - `isocyanate_urethane_urea` - `radical_vinyl_cure` - `thiol_click_cure` - `cyanate_
Source context: rag_prompt_smoke_from_selected_candidates",trail/knowledge/smp_prior_knowledge.yaml:0|docs/generation_strategy_and_harness.md:31|docs/generation_strategy_and_harness.md:43|docs/smp_knowledge_base_and_ontology.md:22,materials_domain: thermoset_shape_memory_polymers representation_scope:   current: single_small_molecule_smiles_or_molecode   deferred:     - commodity_grade_component_mixture      || - 120 条 replacement proposals 输入。 - 107 条可重建为完整双组分配方并完成 VAE-WVCM-GPR 预测。 - 10 条通过 Harness。 - `scripts/evaluate_replacement_proposals.py` 默认使用 CPU deterministic VAE encoding，避免 CUDA || - `generation_id / strategy / stage / target_tg_c / target_window_c` - `candidate_smiles / candidate_ratios` - `prompt_id / prompt_text / prompt_hash` - `rag_query / rag_context_re || - `epoxy_amine_thermal_cure` - `epoxy_anhydride_catalyzed_cure` - `anhydride_amine_imidization` - `isocyanate_urethane_urea` - `radical_vinyl_cure` - `thiol_click_cure` - `cyanate_,1224,4,732,3,0,1,4.265571117401123
train,33,rule_template_a7f7a36a51cf,rule_template,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,195.0,5.0,195.0647996097464,0.0,0.0,0.0647996097463874,0.9871236962210808,c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.60000:0.40000,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether + aromatic;ether;primary_amine,环氧-伯胺开环固化。,"{'groups_a': 'aromatic;epoxy;ether', 'groups_b': 'aromatic;ether;primary_amine', 'in_target_range': True, 'ratio_a': 0.6, 'ratio_b': 0.4, 'smiles_a': 'c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1', 'smiles_b': 'Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1', 'source_row_index': 30, 'source_target_distance_c': 0.0647996097464158}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py
RAG digest: Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.
Source context: selected_candidate_space_rule_template",artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,506,2,106,32,1,0,2.7470145225524902
train,2,prompt_rag_selected_001,llm_rag_principle_generation,artifacts/trail/generation/prompt_records/generation_record_ledger.csv,195.0,5.0,194.99681974863265,0.0,0.0,0.003180251367354,0.9993641519636244,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1|Cc1ccc(N=C=O)cc1N=C=O,0.65000:0.35000,Rigid aromatic compatible functional groups should keep the target window reachable.,aromatic;primary_amine + aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,"{'ratios': ['0.65000', '0.35000'], 'smiles': ['Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1', 'Cc1ccc(N=C=O)cc1N=C=O']}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: trail/knowledge/smp_prior_knowledge.yaml:0|docs/generation_strategy_and_harness.md:31|docs/generation_strategy_and_harness.md:43|docs/smp_knowledge_base_and_ontology.md:22
RAG digest: materials_domain: thermoset_shape_memory_polymers representation_scope:   current: single_small_molecule_smiles_or_molecode   deferred:     - commodity_grade_component_mixture      || - 120 条 replacement proposals 输入。 - 107 条可重建为完整双组分配方并完成 VAE-WVCM-GPR 预测。 - 10 条通过 Harness。 - `scripts/evaluate_replacement_proposals.py` 默认使用 CPU deterministic VAE encoding，避免 CUDA || - `generation_id / strategy / stage / target_tg_c / target_window_c` - `candidate_smiles / candidate_ratios` - `prompt_id / prompt_text / prompt_hash` - `rag_query / rag_context_re || - `epoxy_amine_thermal_cure` - `epoxy_anhydride_catalyzed_cure` - `anhydride_amine_imidization` - `isocyanate_urethane_urea` - `radical_vinyl_cure` - `thiol_click_cure` - `cyanate_
Source context: rag_prompt_smoke_from_selected_candidates",trail/knowledge/smp_prior_knowledge.yaml:0|docs/generation_strategy_and_harness.md:31|docs/generation_strategy_and_harness.md:43|docs/smp_knowledge_base_and_ontology.md:22,materials_domain: thermoset_shape_memory_polymers representation_scope:   current: single_small_molecule_smiles_or_molecode   deferred:     - commodity_grade_component_mixture      || - 120 条 replacement proposals 输入。 - 107 条可重建为完整双组分配方并完成 VAE-WVCM-GPR 预测。 - 10 条通过 Harness。 - `scripts/evaluate_replacement_proposals.py` 默认使用 CPU deterministic VAE encoding，避免 CUDA || - `generation_id / strategy / stage / target_tg_c / target_window_c` - `candidate_smiles / candidate_ratios` - `prompt_id / prompt_text / prompt_hash` - `rag_query / rag_context_re || - `epoxy_amine_thermal_cure` - `epoxy_anhydride_catalyzed_cure` - `anhydride_amine_imidization` - `isocyanate_urethane_urea` - `radical_vinyl_cure` - `thiol_click_cure` - `cyanate_,1224,4,732,1,2,3,4.445113182067871
train,43,rule_template_70a413ebfce4,rule_template,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,195.0,5.0,194.91926557922017,0.0,0.0,0.0807344207798337,0.9839827779602468,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1,0.40000:0.60000,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether + aromatic;primary_amine,环氧-伯胺开环固化。,"{'groups_a': 'aromatic;epoxy;ether', 'groups_b': 'aromatic;primary_amine', 'in_target_range': True, 'ratio_a': 0.4, 'ratio_b': 0.6, 'smiles_a': 'COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1', 'smiles_b': 'CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1', 'source_row_index': 40, 'source_target_distance_c': 0.0807344207798337}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py
RAG digest: Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.
Source context: selected_candidate_space_rule_template",artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,506,2,106,42,3,2,2.8820948600769043
train,41,rule_template_8da474427712,rule_template,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,195.0,5.0,194.9217208454995,0.0,0.0,0.0782791545005068,0.984466084562008,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1|Nc1ccc(-c2ccc(N)cc2)cc1,0.60000:0.40000,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether + aromatic;primary_amine,环氧-伯胺开环固化。,"{'groups_a': 'aromatic;epoxy;ether', 'groups_b': 'aromatic;primary_amine', 'in_target_range': True, 'ratio_a': 0.6, 'ratio_b': 0.4, 'smiles_a': 'c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1', 'smiles_b': 'Nc1ccc(-c2ccc(N)cc2)cc1', 'source_row_index': 38, 'source_target_distance_c': 0.0782791545005068}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py
RAG digest: Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.
Source context: selected_candidate_space_rule_template",artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,506,2,106,40,4,5,2.9067039489746094
train,13,rule_template_d0bf010b117f,rule_template,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,195.0,5.0,195.03353555451383,0.0,0.0,0.0335355545138327,0.9933153315628312,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.35000:0.65000,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether + aromatic;ether;primary_amine,环氧-伯胺开环固化。,"{'groups_a': 'aromatic;epoxy;ether', 'groups_b': 'aromatic;ether;primary_amine', 'in_target_range': True, 'ratio_a': 0.35, 'ratio_b': 0.65, 'smiles_a': 'Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1', 'smiles_b': 'Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1', 'source_row_index': 10, 'source_target_distance_c': 0.0335355545138327}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py
RAG digest: Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.
Source context: selected_candidate_space_rule_template",artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,506,2,106,12,5,6,3.0061800479888916
train,26,rule_template_f85828d53609,rule_template,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,195.0,5.0,194.94551988801533,0.0,0.0,0.0544801119846738,0.9891631242391624,NCc1cccc(CN)c1|O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,0.45000:0.55000,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;primary_amine + aromatic;epoxy;ether,环氧-伯胺开环固化。,"{'groups_a': 'aromatic;primary_amine', 'groups_b': 'aromatic;epoxy;ether', 'in_target_range': True, 'ratio_a': 0.45, 'ratio_b': 0.55, 'smiles_a': 'NCc1cccc(CN)c1', 'smiles_b': 'O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12', 'source_row_index': 23, 'source_target_distance_c': 0.0544801119846738}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py
RAG digest: Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.
Source context: selected_candidate_space_rule_template",artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,506,2,106,25,6,7,3.0265331268310547
train,47,rule_template_96bca06ef6b1,rule_template,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,195.0,5.0,195.09108186794663,0.0,0.0,0.0910818679466274,0.9819485416399524,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|Nc1ccc(N)cc1,0.40000:0.60000,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether + aromatic;primary_amine,环氧-伯胺开环固化。,"{'groups_a': 'aromatic;epoxy;ether', 'groups_b': 'aromatic;primary_amine', 'in_target_range': True, 'ratio_a': 0.4, 'ratio_b': 0.6, 'smiles_a': 'COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1', 'smiles_b': 'Nc1ccc(N)cc1', 'source_row_index': 44, 'source_target_distance_c': 0.0910818679466558}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py
RAG digest: Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.
Source context: selected_candidate_space_rule_template",artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,506,2,106,46,7,8,3.1829798221588135
train,12,rule_template_bbb72431693e,rule_template,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,195.0,5.0,194.9680933755005,0.0,0.0,0.0319066244994985,0.9936389925135284,Nc1ccc(Cc2ccc(N)cc2)cc1|COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,0.80000:0.20000,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;primary_amine + aromatic;epoxy;ester;ether,环氧-伯胺开环固化。,"{'groups_a': 'aromatic;primary_amine', 'groups_b': 'aromatic;epoxy;ester;ether', 'in_target_range': True, 'ratio_a': 0.8, 'ratio_b': 0.1999999999999999, 'smiles_a': 'Nc1ccc(Cc2ccc(N)cc2)cc1', 'smiles_b': 'COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1', 'source_row_index': 9, 'source_target_distance_c': 0.0319066244994985}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py
RAG digest: Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.
Source context: selected_candidate_space_rule_template",artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,506,2,106,11,8,9,3.366605043411255
train,21,rule_template_712b5a11592a,rule_template,artifacts/trail/generation/rule_template_records/generation_record_ledger.csv,195.0,5.0,194.94813494469585,0.0,0.0,0.0518650553041482,0.9896806030782505,COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1|Nc1ccc(N)cc1,0.25000:0.75000,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ester;ether + aromatic;primary_amine,环氧-伯胺开环固化。,"{'groups_a': 'aromatic;epoxy;ester;ether', 'groups_b': 'aromatic;primary_amine', 'in_target_range': True, 'ratio_a': 0.25, 'ratio_b': 0.75, 'smiles_a': 'COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1', 'smiles_b': 'Nc1ccc(N)cc1', 'source_row_index': 18, 'source_target_distance_c': 0.0518650553041482}","Target Tg: 195.0 C
Target window: +/-5.0 C
Representation: single small-molecule SMILES / MoleCode only.
Return one auditable generation_record JSON. It must pass RDKit, ratio, prediction, target, and chemistry gates before recommendation.
RAG refs: artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py
RAG digest: Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.
Source context: selected_candidate_space_rule_template",artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,506,2,106,20,9,10,3.4687516689300537
