process_record_id,linked_observation_id,source_type,target_tg_c,observed_tg_c,smiles,ratios,reaction_principle,process_template,review_status,literature_source,operator,catalyst,catalyst_loading,cure_temperature_c,cure_time_h,post_cure_temperature_c,post_cure_time_h,imidization_temperature_c,imidization_time_h,trimerization_temperature_c,initiator_type,initiator_loading,moisture_control,nco_index,notes,source_type_allowed,review_status_allowed,valid_smiles,ratio_ok,process_template_known,required_process_fields,missing_process_fields,process_fields_complete,target_distance_c,process_record_pass,ready_for_active_ledger
review_queue_0007,sparse_target_replacement_250_0204,surrogate_review,250.0,249.96571728997148,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.95000:0.05000,epoxy_hydroxyl,epoxy_anhydride_catalyzed_cure,needs_process_details,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_001_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,False,0.03428271002852057,True,False
review_queue_0014,surrogate_round_3,surrogate_review,195.0,195.0590323055354,COC(=O)c1cc(CCc2ccc(OC)cc2OC)ccc1O|Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21|O=C(NCc1ccc(S(=O)(=O)O)cc1)C(CS)Cc1ccccc1|c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,0.06645:0.18729:0.16791:0.57835,epoxy_secondary_amine,epoxy_amine_thermal_cure,needs_process_details,pievo_latent_local_search_selected,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_011_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,False,0.05903230553539629,True,False
review_queue_0011,sparse_target_replacement_250_0058,surrogate_review,250.0,249.88881937114007,O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.60000:0.40000,anhydride_hydroxyl,anhydride_amine_imidization,needs_process_details,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_002_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,solvent;imidization_temperature_c;imidization_time_h,solvent;imidization_temperature_c;imidization_time_h,False,0.11118062885992686,True,False
review_queue_0005,surrogate_round_2,surrogate_review,195.0,195.11905729703824,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|NCCNCCN|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.38304:0.53431:0.08265,epoxy_primary_amine,epoxy_amine_thermal_cure,needs_process_details,pievo_latent_local_search_selected,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_009_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,False,0.11905729703823908,True,False
review_queue_0008,sparse_target_replacement_250_0215,surrogate_review,250.0,250.5543530246221,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,0.45000:0.55000,anhydride_hydroxyl,anhydride_amine_imidization,needs_process_details,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_003_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,solvent;imidization_temperature_c;imidization_time_h,solvent;imidization_temperature_c;imidization_time_h,False,0.5543530246220882,True,False
review_queue_0016,sparse_target_replacement_250_0035,surrogate_review,250.0,249.6163776184917,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1,0.20000:0.80000,epoxy_primary_amine,epoxy_amine_thermal_cure,needs_process_details,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_006_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,False,0.3836223815083031,True,False
review_queue_0018,sparse_target_replacement_250_0008,surrogate_review,250.0,249.4053290851912,COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1|Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.25000:0.75000,epoxy_primary_amine,epoxy_amine_thermal_cure,needs_process_details,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_008_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,False,0.5946709148088019,True,False
review_queue_0019,sparse_target_replacement_250_0277,surrogate_review,250.0,250.7669903376895,COc1cc(CC2CO2)ccc1OP(=O)(Oc1ccc(CC2CO2)cc1OC)Oc1ccc(CC2CO2)cc1OC|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000,epoxy_anhydride,epoxy_anhydride_catalyzed_cure,needs_process_details,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_007_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,False,0.7669903376894922,True,False
review_queue_0020,sparse_target_replacement_250_0182,surrogate_review,250.0,250.85196239366724,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000,epoxy_anhydride,epoxy_anhydride_catalyzed_cure,needs_process_details,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_010_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,False,0.851962393667236,True,False
review_queue_0015,vae_latent_local_search_0063,surrogate_review,195.0,195.4722136422204,Nc1ccc(-c2ccc(N)cc2)cc1|O=C1C=CC(=O)N1c1ccccc1N1C(=O)C=CC1=O,0.55000:0.45000,maleimide_amine,maleimide_addition_or_copolymerization,needs_process_details,vae_latent_local_search,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_014_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,cure_temperature_c;co_reactant_stoichiometry;post_cure_temperature_c,cure_temperature_c;co_reactant_stoichiometry;post_cure_temperature_c,False,0.47221364222039597,True,False
review_queue_0021,sparse_target_replacement_250_0308,surrogate_review,250.0,249.44716837670188,COc1cc(C(c2cc(C)c(O)c(O)c2)c2cc(C)c(O)c(O)c2)ccc1OCC1CO1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.25000:0.75000,epoxy_primary_amine,epoxy_amine_thermal_cure,needs_process_details,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_017_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,False,0.5528316232981183,True,False
review_queue_0017,surrogate_round_4,surrogate_review,195.0,195.583840638969,CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1|Nc1cccc(N)c1|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.37683:0.46697:0.15620,epoxy_hydroxyl,epoxy_anhydride_catalyzed_cure,needs_process_details,pievo_ensemble_guard_selected,smp02_human_review_queue,,,,,,,,,,,,,,Process completion intake template for request=validation_018_process_completion; execution_status=planned_not_completed; not active ledger evidence.,True,True,True,True,True,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,False,0.5838406389690078,True,False
