task_id,todo_area,status,completion_verdict,evidence_present_count,evidence_expected_count,next_action
variable_tg_targets,真实 Tg 温度不固定,implemented,implemented_and_evidence_present,3,3,用真实/高保真 observation 做正式多目标 posterior sweep
commodity_polymer_hypergraph_representation,真实商品级组分/聚合物/超图表示,deferred_by_user,explicitly_deferred_by_user,1,1,等待用户恢复该方向；当前继续使用单一小分子 SMILES/MoleCode
knowledge_prior_ontology,知识库/先验库/本体,implemented_needs_more_literature_extraction,implemented_and_evidence_present,4,4,从更多 SMP 文献抽取固化程序和 process fields
candidate_component_dataset,候选组分数据集/来源/官能团分类,implemented,implemented_and_evidence_present,4,4,用真实/高保真 evidence 调整 source authority
predictor_model_zoo,预测模型/CNN-SVR-RF/GNN/model zoo,implemented,implemented_and_evidence_present,5,5,更长 GNN 训练，并评估是否纳入 ensemble/OOD 审计
generation_models,生成模型/VAE/LLM/RAG/SFT/diffusion/flow/Harness,implemented_smoke_needs_real_generator_outputs,implemented_and_evidence_present,7,7,接入真实外部 LLM/SFT 或有效 SMILES decoder；输出仍走 ledger/Harness/PiEvo
pievo_faithful_closed_loop,PiEvo-faithful/原则 posterior/IDS/full-history,implemented,implemented_and_evidence_present,4,4,用高权重真实/高保真 evidence 检验 posterior shift
human_real_experiment_loop,人工闭环/真实实验结果迭代优化,implemented_blocked_by_human_or_high_fidelity_evidence,implemented_and_evidence_present,6,6,先审核 12 行 process approval，再执行高保真/真实结果 intake
workflow_agent_summary,多智能体 workflow/服务化总览,implemented,implemented_and_evidence_present,3,3,后续把真实 provider/真实实验结果接入同一 summary
rl_strategy_policy,RL/策略层预算分配,implemented_surrogate_backed,implemented_and_evidence_present,3,3,高权重 evidence 进入后，比较 posterior shift 再调预算
