task_id,todo_area,status,deferred,needs_real_or_high_fidelity_evidence,evidence_paths,evidence_present_count,evidence_expected_count,all_evidence_present,missing_evidence_paths,next_action
variable_tg_targets,真实 Tg 温度不固定,implemented,False,False,reports/variable_target_tg_analysis.md;reports/pievo_target_sweep_smoke.md;reports/feedback_guided_replacement_target_sweep.md,3,3,True,,用真实/高保真 observation 做正式多目标 posterior sweep
commodity_polymer_hypergraph_representation,真实商品级组分/聚合物/超图表示,deferred_by_user,True,False,ForYouGoal/20260606_01/TODO.md,1,1,True,,等待用户恢复该方向；当前继续使用单一小分子 SMILES/MoleCode
knowledge_prior_ontology,知识库/先验库/本体,implemented_needs_more_literature_extraction,False,False,trail/knowledge/smp_prior_knowledge.yaml;trail/knowledge/ontology.yaml;docs/smp_knowledge_base_and_ontology.md;reports/knowledge_provenance_process_update.md,4,4,True,,从更多 SMP 文献抽取固化程序和 process fields
candidate_component_dataset,候选组分数据集/来源/官能团分类,implemented,False,False,trail/candidates/source_registry.yaml;artifacts/trail/candidates_expanded/component_inventory.csv;reports/candidate_source_audit_expanded.md;reports/sparse_candidate_template_expansion.md,4,4,True,,用真实/高保真 evidence 调整 source authority
predictor_model_zoo,预测模型/CNN-SVR-RF/GNN/model zoo,implemented,False,False,reports/model_selection_analysis.md;reports/predictor_model_selection_registry.md;reports/predictor_ensemble_disagreement.md;reports/gnn_architecture_smoke_leaderboard.md;reports/gnn_global_feature_smoke.md,5,5,True,,更长 GNN 训练，并评估是否纳入 ensemble/OOD 审计
generation_models,生成模型/VAE/LLM/RAG/SFT/diffusion/flow/Harness,implemented_smoke_needs_real_generator_outputs,False,True,reports/vae_latent_local_search_evaluation.md;reports/feedback_aware_llm_rag_agent.md;reports/sft_candidate_generator_dry_run.md;reports/diffusion_flow_candidate_generator_dry_run.md;reports/diffusion_flow_trained_generator.md;docs/generation_strategy_and_harness.md,6,6,True,,接入真实外部 LLM/SFT 或有效 SMILES decoder；输出仍走 ledger/Harness/PiEvo
pievo_faithful_closed_loop,PiEvo-faithful/原则 posterior/IDS/full-history,implemented,False,False,src/smp02/pievo_faithful.py;docs/pievo_faithful_smp.md;artifacts/pievo_faithful_ensemble_guard_195_smoke/pievo_faithful_summary.json;reports/pievo_ensemble_disagreement_guard_smoke.md,4,4,True,,用高权重真实/高保真 evidence 检验 posterior shift
human_real_experiment_loop,人工闭环/真实实验结果迭代优化,implemented_blocked_by_human_or_high_fidelity_evidence,False,True,reports/human_experiment_review_queue.md;reports/process_approval_intake.md;reports/high_fidelity_protocol_packet.md;reports/validation_dependency_graph.md;reports/active_high_authority_observation_ledger.md,5,5,True,,先审核 12 行 process approval，再执行高保真/真实结果 intake
workflow_agent_summary,多智能体 workflow/服务化总览,implemented,False,False,trail/workflow/multi_agent_workflow.py;artifacts/trail/workflow/multi_agent_summary.json;docs/closed_loop_workflow.md,3,3,True,,后续把真实 provider/真实实验结果接入同一 summary
rl_strategy_policy,RL/策略层预算分配,implemented_surrogate_backed,False,False,reports/generation_strategy_bandit_policy.md;reports/target_conditioned_generation_strategy_policy.md;artifacts/trail/generation_strategy_policy/generation_strategy_bandit_summary.json,3,3,True,,高权重 evidence 进入后，比较 posterior shift 再调预算
